Length,Grade School Multiplication,Divide and conquer,Karatsuba
50,0,0.0001,0.0001
100,0.0002,0.0003,0.0003
150,0.0004,0.0009,0.0005
200,0.0007,0.0014,0.0008
250,0.0017,0.0031,0.002
300,0.0023,0.011,0.0059
350,0.0031,0.0051,0.0032
400,0.0035,0.0066,0.0039
450,0.0053,0.0082,0.0046
500,0.0131,0.0091,0.0069
550,0.0069,0.0156,0.0079
600,0.0075,0.0145,0.0071
650,0.0075,0.0139,0.0063
700,0.0087,0.0151,0.0071
750,0.0097,0.0166,0.0077
800,0.0108,0.0176,0.0082
850,0.0126,0.0214,0.0093
900,0.0142,0.0227,0.0103
950,0.0163,0.0252,0.0113
1000,0.0174,0.0272,0.0111
